2018-06-16 11:26:39.703 main  INFO org.springframework.web.context.ContextLoader:305 - Root WebApplicationContext: initialization started
2018-06-16 11:26:39.853 main  INFO org.springframework.web.context.support.XmlWebApplicationContext:578 - Refreshing Root WebApplicationContext: startup date [Sat Jun 16 11:26:39 CST 2018]; root of context hierarchy
2018-06-16 11:26:39.903 main  INFO org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [applicationContext.xml]
2018-06-16 11:26:40.033 main  INFO org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [spring-service.xml]
2018-06-16 11:26:40.182 main  WARN org.mybatis.spring.mapper.ClassPathMapperScanner:239 - Skipping MapperFactoryBean with name 'studentService' and 'com.jnshu.service.StudentService' mapperInterface. Bean already defined with the same name!
2018-06-16 11:26:40.242 main  INFO org.springframework.context.support.PropertySourcesPlaceholderConfigurer:172 - Loading properties file from class path resource [db.properties]
2018-06-16 11:26:40.262 main  INFO org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor:153 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-06-16 11:26:40.732 main  INFO org.springframework.web.context.ContextLoader:345 - Root WebApplicationContext: initialization completed in 1019 ms
2018-06-16 11:26:40.980 main  INFO org.springframework.web.servlet.DispatcherServlet:487 - FrameworkServlet 'dispatcher': initialization started
2018-06-16 11:26:40.990 main  INFO org.springframework.web.context.support.XmlWebApplicationContext:578 - Refreshing WebApplicationContext for namespace 'dispatcher-servlet': startup date [Sat Jun 16 11:26:40 CST 2018]; parent: Root WebApplicationContext
2018-06-16 11:26:40.990 main  INFO org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [spring-mvc.xml]
2018-06-16 11:26:41.220 main  INFO org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor:153 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-06-16 11:26:41.427 main  INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:534 - Mapped "{[/rest/u/profession]}" onto public org.springframework.web.servlet.ModelAndView com.jnshu.controller.ControllerStu.home2()
2018-06-16 11:26:41.427 main  INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:534 - Mapped "{[/rest/login],methods=[GET]}" onto public java.lang.String com.jnshu.controller.ControllerStu.loginPage()
2018-06-16 11:26:41.437 main  INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:534 - Mapped "{[/rest/home]}" onto public org.springframework.web.servlet.ModelAndView com.jnshu.controller.ControllerStu.home()
2018-06-16 11:26:41.439 main  INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:534 - Mapped "{[/user/login],methods=[GET]}" onto public java.lang.String com.jnshu.controller.Test.login()
2018-06-16 11:26:41.441 main  INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:534 - Mapped "{[/user/Register],methods=[POST]}" onto public java.lang.String com.jnshu.controller.Test.Register(java.lang.String,java.lang.String,com.jnshu.entity.user,org.springframework.ui.Model) throws java.lang.Exception
2018-06-16 11:26:41.442 main  INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:534 - Mapped "{[/user/Login],methods=[POST]}" onto public java.lang.String com.jnshu.controller.Test.Login(java.lang.String,java.lang.String,com.jnshu.entity.user,org.springframework.ui.Model) throws java.lang.Exception
2018-06-16 11:26:41.445 main  INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:534 - Mapped "{[/user/register],methods=[GET]}" onto public java.lang.String com.jnshu.controller.Test.register()
2018-06-16 11:26:41.603 main  INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter:539 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'dispatcher-servlet': startup date [Sat Jun 16 11:26:40 CST 2018]; parent: Root WebApplicationContext
2018-06-16 11:26:41.663 main  INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter:539 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'dispatcher-servlet': startup date [Sat Jun 16 11:26:40 CST 2018]; parent: Root WebApplicationContext
2018-06-16 11:26:41.883 main  INFO org.apache.tiles.access.TilesAccess:93 - Publishing TilesContext for context: org.springframework.web.servlet.view.tiles3.SpringWildcardServletTilesApplicationContext
2018-06-16 11:26:41.953 main  INFO org.springframework.web.servlet.DispatcherServlet:506 - FrameworkServlet 'dispatcher': initialization completed in 973 ms
2018-06-16 11:26:48.085 PathWatcher@1b881f1f  INFO org.springframework.web.context.support.XmlWebApplicationContext:960 - Closing WebApplicationContext for namespace 'dispatcher-servlet': startup date [Sat Jun 16 11:26:40 CST 2018]; parent: Root WebApplicationContext
2018-06-16 11:26:48.085 PathWatcher@1b881f1f  INFO org.apache.tiles.access.TilesAccess:88 - Removing TilesContext for context: org.springframework.web.servlet.view.tiles3.SpringWildcardServletTilesApplicationContext
2018-06-16 11:26:48.115 PathWatcher@1b881f1f  INFO org.springframework.web.context.support.XmlWebApplicationContext:960 - Closing Root WebApplicationContext: startup date [Sat Jun 16 11:26:39 CST 2018]; root of context hierarchy
2018-06-16 11:26:49.668 PathWatcher@1b881f1f  INFO org.springframework.web.context.ContextLoader:305 - Root WebApplicationContext: initialization started
2018-06-16 11:26:49.752 PathWatcher@1b881f1f  INFO org.springframework.web.context.support.XmlWebApplicationContext:578 - Refreshing Root WebApplicationContext: startup date [Sat Jun 16 11:26:49 CST 2018]; root of context hierarchy
2018-06-16 11:26:49.810 PathWatcher@1b881f1f  INFO org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [applicationContext.xml]
2018-06-16 11:26:49.935 PathWatcher@1b881f1f  INFO org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [spring-service.xml]
2018-06-16 11:26:50.155 PathWatcher@1b881f1f  WARN org.mybatis.spring.mapper.ClassPathMapperScanner:239 - Skipping MapperFactoryBean with name 'studentService' and 'com.jnshu.service.StudentService' mapperInterface. Bean already defined with the same name!
2018-06-16 11:26:50.341 PathWatcher@1b881f1f  INFO org.springframework.context.support.PropertySourcesPlaceholderConfigurer:172 - Loading properties file from class path resource [db.properties]
2018-06-16 11:26:50.356 PathWatcher@1b881f1f  INFO org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor:153 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-06-16 11:26:50.769 PathWatcher@1b881f1f  INFO org.springframework.web.context.ContextLoader:345 - Root WebApplicationContext: initialization completed in 1098 ms
2018-06-16 11:26:50.883 PathWatcher@1b881f1f  INFO org.springframework.web.servlet.DispatcherServlet:487 - FrameworkServlet 'dispatcher': initialization started
2018-06-16 11:26:50.883 PathWatcher@1b881f1f  INFO org.springframework.web.context.support.XmlWebApplicationContext:578 - Refreshing WebApplicationContext for namespace 'dispatcher-servlet': startup date [Sat Jun 16 11:26:50 CST 2018]; parent: Root WebApplicationContext
2018-06-16 11:26:50.883 PathWatcher@1b881f1f  INFO org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [spring-mvc.xml]
2018-06-16 11:26:51.010 PathWatcher@1b881f1f  INFO org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor:153 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-06-16 11:26:51.144 PathWatcher@1b881f1f  INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:534 - Mapped "{[/rest/u/profession]}" onto public org.springframework.web.servlet.ModelAndView com.jnshu.controller.ControllerStu.home2()
2018-06-16 11:26:51.145 PathWatcher@1b881f1f  INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:534 - Mapped "{[/rest/login],methods=[GET]}" onto public java.lang.String com.jnshu.controller.ControllerStu.loginPage()
2018-06-16 11:26:51.146 PathWatcher@1b881f1f  INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:534 - Mapped "{[/rest/home]}" onto public org.springframework.web.servlet.ModelAndView com.jnshu.controller.ControllerStu.home()
2018-06-16 11:26:51.148 PathWatcher@1b881f1f  INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:534 - Mapped "{[/user/login],methods=[GET]}" onto public java.lang.String com.jnshu.controller.Test.login()
2018-06-16 11:26:51.149 PathWatcher@1b881f1f  INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:534 - Mapped "{[/user/Register],methods=[POST]}" onto public java.lang.String com.jnshu.controller.Test.Register(java.lang.String,java.lang.String,com.jnshu.entity.user,org.springframework.ui.Model) throws java.lang.Exception
2018-06-16 11:26:51.150 PathWatcher@1b881f1f  INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:534 - Mapped "{[/user/Login],methods=[POST]}" onto public java.lang.String com.jnshu.controller.Test.Login(java.lang.String,java.lang.String,com.jnshu.entity.user,org.springframework.ui.Model) throws java.lang.Exception
2018-06-16 11:26:51.151 PathWatcher@1b881f1f  INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:534 - Mapped "{[/user/register],methods=[GET]}" onto public java.lang.String com.jnshu.controller.Test.register()
2018-06-16 11:26:51.234 PathWatcher@1b881f1f  INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter:539 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'dispatcher-servlet': startup date [Sat Jun 16 11:26:50 CST 2018]; parent: Root WebApplicationContext
2018-06-16 11:26:51.284 PathWatcher@1b881f1f  INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter:539 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'dispatcher-servlet': startup date [Sat Jun 16 11:26:50 CST 2018]; parent: Root WebApplicationContext
2018-06-16 11:26:51.374 PathWatcher@1b881f1f  INFO org.apache.tiles.access.TilesAccess:93 - Publishing TilesContext for context: org.springframework.web.servlet.view.tiles3.SpringWildcardServletTilesApplicationContext
2018-06-16 11:26:51.434 PathWatcher@1b881f1f  INFO org.springframework.web.servlet.DispatcherServlet:506 - FrameworkServlet 'dispatcher': initialization completed in 551 ms
2018-06-16 11:27:01.972 qtp1549377783-20  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/css/t11.css] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:01.981 qtp1549377783-20  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/css/Untitled-3.css] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:01.986 qtp1549377783-20  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/css/Untitled-1base.css] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:01.996 qtp1549377783-20  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/js/jquery-3.3.1.min.js] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:02.012 qtp1549377783-20  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/js/bootstrap.min.js] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:02.032 qtp1549377783-28  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/css/bootstrap.min.css] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:02.038 qtp1549377783-15  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/css/t11.css] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:02.042 qtp1549377783-15  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/css/bootstrap.min.css] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:02.046 qtp1549377783-20  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/css/base.css] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:02.053 qtp1549377783-30  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/images/54537.png] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:02.077 qtp1549377783-16  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/images/45678678.png] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:02.085 qtp1549377783-30  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/images/54375483543.png] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:02.103 qtp1549377783-20  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/css/base.css] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:02.161 qtp1549377783-29  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/images/logo.png] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:02.164 qtp1549377783-16  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/css/Untitled-3.css] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:02.173 qtp1549377783-30  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/css/Untitled-1base.css] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:02.175 qtp1549377783-16  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/images/453254354.jpg] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:02.184 qtp1549377783-30  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/js/jquery-3.3.1.min.js] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:02.245 qtp1549377783-29  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/images/547567.jpg] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:02.247 qtp1549377783-32  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/js/bootstrap.min.js] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:02.255 qtp1549377783-16  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/images/banner-3.jpg] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:02.255 qtp1549377783-29  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/images/54537.png] in DispatcherServlet with name 'dispatcher'
2018-06-16 11:27:02.263 qtp1549377783-30  WARN org.springframework.web.servlet.PageNotFound:1139 - No mapping found for HTTP request with URI [/static/images/banner-4.jpg] in DispatcherServlet with name 'dispatcher'
